序号,本地时间,启动后时间,cmd_id,seq,类型,说明,来源录波,hero,engineer,infantry_3,infantry_4,reserved,aerial,sentry,coins_remaining,coins_total,occupancy_status_bits,sentry_posture,hero_x_cm,hero_y_cm,engineer_x_cm,engineer_y_cm,infantry_3_x_cm,infantry_3_y_cm,infantry_4_x_cm,infantry_4_y_cm,aerial_x_cm,aerial_y_cm,sentry_x_cm,sentry_y_cm,hero_heal_pct,hero_cooling,hero_defense_pct,hero_negative_defense_pct,hero_attack_pct,engineer_heal_pct,engineer_cooling,engineer_defense_pct,engineer_negative_defense_pct,engineer_attack_pct,infantry_3_heal_pct,infantry_3_cooling,infantry_3_defense_pct,infantry_3_negative_defense_pct,infantry_3_attack_pct,infantry_4_heal_pct,infantry_4_cooling,infantry_4_defense_pct,infantry_4_negative_defense_pct,infantry_4_attack_pct,sentry_heal_pct,sentry_cooling,sentry_defense_pct,sentry_negative_defense_pct,sentry_attack_pct
1,2026-05-30T18:10:37.000,01:23.00,0x0A02,46,血量,各机器人剩余血量,info_20260530_181037_loop000021.c64,150,250,200,200,0,,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2026-05-30T18:10:37.000,01:23.00,0x0A03,47,发弹量,各机器人/单位剩余发弹量,info_20260530_181037_loop000021.c64,0,,0,0,,750,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2026-05-30T18:10:37.000,01:23.00,0x0A02,53,血量,各机器人剩余血量,info_20260530_181037_loop000021.c64,150,250,200,200,0,,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2026-05-30T18:10:37.000,01:23.00,0x0A03,54,发弹量,各机器人/单位剩余发弹量,info_20260530_181037_loop000021.c64,0,,0,0,,750,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2026-05-30T18:10:37.000,01:23.00,0x0A05,56,Buff/哨兵姿态,增益、冷却、哨兵姿态等状态,info_20260530_181037_loop000021.c64,,,,,,,,,,,3,,,,,,,,,,,,,0,80,0,0,0,0,0,0,0,0,0,95,0,0,0,0,95,0,0,0,0,70,0,0,0
6,2026-05-30T18:10:37.000,01:23.00,0x0A01,59,位置,各机器人场地坐标，单位 cm,info_20260530_181037_loop000021.c64,,,,,,,,,,,,210,877,157,643,226,619,315,669,154,1338,350,824,,,,,,,,,,,,,,,,,,,,,,,,,
7,2026-05-30T18:10:37.000,01:23.00,0x0A02,60,血量,各机器人剩余血量,info_20260530_181037_loop000021.c64,150,250,200,200,0,,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2026-05-30T18:10:37.000,01:23.00,0x0A03,61,发弹量,各机器人/单位剩余发弹量,info_20260530_181037_loop000021.c64,0,,0,0,,750,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2026-05-30T18:10:37.000,01:23.00,0x0A04,62,经济/占领,经济与占领状态,info_20260530_181037_loop000021.c64,,,,,,,,0,0,256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2026-05-30T18:10:37.000,01:23.00,0x0A01,66,位置,各机器人场地坐标，单位 cm,info_20260530_181037_loop000021.c64,,,,,,,,,,,,210,876,161,649,223,619,315,671,159,1330,348,825,,,,,,,,,,,,,,,,,,,,,,,,,
